ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
4816,Hexi Biogas Recovery and Utilization Project,"Fengcheng Xinfengtai Environment Technology Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"55,019",Asia,2024-09-20,2022-05-05,2029-05-04
4818,Linfen MSW Incineration and Power Generation Project,Linfen Canvest Environmental Power Company Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,China,"107,358",Asia,2024-10-21,2022-06-14,2029-06-13
4784,Wuhan Jiangxia Changshankou LFG Power Project Phase I,"Wuhan Huantou Environmental Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"315,570",Asia,2024-08-13,2022-03-10,2032-03-09
4736,CHENGZI RECYCLED AL PROJECT A,Multiple Proponents,Waste handling and disposal,,AMS-III.AJ.,Registered,China,"59,059",Asia,2024-08-23,2022-03-01,2029-02-28
4731,"Biogas based Poultry Waste Management Project at Siddipet District, Telangana State, India",Sunmax Hatcheries Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Registered,India,"26,608",Asia,2024-09-15,2024-01-28,2031-01-27
4715,Jinghai Leachate Anaerobic Biogas Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Registered,China,"33,996",Asia,2024-05-29,2022-07-12,2032-07-11
4703,Xingning Tokzin PET Recycling Project,"Xingning Tokzin Yinghui Resources Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"38,176",Asia,2024-08-20,2022-04-06,2029-04-05
4679,Project Reignite: Turning Farm Waste to Climate Action,SRCNatura Sure Pvt. Ltd.,Waste handling and disposal,,VM0044,Registered,India,"110,760",Asia,2024-08-27,2023-10-16,2030-10-15
4675,HUOSHENGYUAN COMPOSTING PROJECT IN MIANYANG CITY,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"56,753",Asia,2024-07-23,2022-01-01,2031-12-31
4669,"100 MW Solar PV project by ERBL, Bangladesh",Energon Renewables (BD) Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Bangladesh,"106,019",Asia,2024-06-26,2021-12-29,2028-12-28
4645,Wudi Lvhe Composting project,"Wudi County Lvhe Organic Fertilizer Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"57,075",Asia,2024-09-27,2022-03-10,2032-03-09
4616,Shunfeng Erhai Composting project in Yousuo,"Dali Erhai Biological Fertilizer Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"57,435",Asia,2024-09-02,2022-03-01,2032-02-29
4614,GER Recycled PP Project,"Jiangxi Green Recycling Co.,Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"19,600",Asia,2024-05-17,2022-01-01,2028-12-31
4612,WEIYUAN COMPOSTING PROJECT,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"59,736",Asia,2024-07-25,2022-01-01,2031-12-31
4600,"FST SMALL-SCALE SOLAR POWER PLANT IN KAMPHAENG PHET, THAILAND",FutureTech Solar (Thailand) co. ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,Thailand,"13,062",Asia,2024-08-28,2023-07-21,2030-07-20
4601,An Qiu Biogas Utilization Project,"TTCA Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0014,Registered,China,"329,347",Asia,2024-07-26,2022-04-28,2032-04-27
4588,Nam Houng - 1 Hydro Power Project,"Nam Houng - 1 Hydro Power Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Lao,"40,515",Asia,2024-09-12,2023-09-01,2030-08-31
4582,Myanmar Kyeeonkyeewa Solar Power Plant Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Myanmar,"23,339",Asia,2024-07-29,2022-12-28,2029-12-27
4583,Myanmar Satoketayar Solar Power Plant Project,"Timing Carbon Asset Management Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Myanmar,"23,014",Asia,2024-07-29,2023-02-07,2030-02-06
4580,Myanmar Kindar Solar Power Plant Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Myanmar,"22,402",Asia,2024-07-29,2023-01-18,2030-01-17
4550,Barka Landfill Gas Recovery Project,OQ Trading Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Oman,"160,001",Middle East,2024-09-01,2022-02-17,2032-02-16
4544,Al Multaqa Landfill Gas Recovery Project,OQ Trading Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Oman,"121,049",Middle East,2024-05-31,2021-11-01,2031-10-31
4531,Reducing Gas Leakages within the Hududgaz Gas Distribution Networks across Uzbekistan,GasGreen Asia LLC,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Uzbekistan,"7,354,473",Asia,2024-07-19,2023-08-22,2033-08-21
4519,TABREED DISTRICT COOLING GROUP PROJECT,NATIONAL CENTRAL COOLING COMPANY PJSC – TABREED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,United Arab Emirates,"19,320",Middle East,2024-07-12,2023-05-25,2030-05-24
4499,Liyang 15 MW Low-concentration CMM Power Generation Project,"Beijing Yonder Environmental Energy Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,"456,021",Asia,2024-09-04,2022-03-01,2032-02-29
4508,Weibei Pipeline Associated Gas Recovery Project,"CNOOC China Limited, Zhanjiang Branch","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,AM0009,Registered,China,"354,152",Asia,2024-04-12,2023-04-09,2033-04-08
4472,Wu Cheng Geothermal Based Space Heating System,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,"62,052",Asia,2024-09-04,2021-11-08,2031-11-07
4469,Zonguldak Landfill Gas to Electricity Project,Arel Yenilenebilir Enerji Teknolojileri ve Elektrik Üretim Ltd. Şti.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Turkey,"71,518",Middle East,2024-10-03,2022-01-01,2028-12-31
4457,Tramontana ICS-01 - The Distribution of Improved Cookstoves to Indigenous Communities across Rural India,Tramontana Impact Limited,Energy demand,,VMR0006,Registered,India,"1,310,160",Asia,2024-08-01,2023-01-21,2030-01-20
4443,Jinan Pingyin Youran Dairy Cattle Manure Management Project,"Jinan Youran Animal Husbandry Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"35,133",Asia,2024-03-14,2021-09-05,2028-09-04
4423,NEW HOPE AWMS GHG Mitigation Project In Anhui Province,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"126,761",Asia,2024-01-21,2021-08-01,2028-07-31
4416,Improved Cookstove Grouped Project in Papua New Guinea,TEM PNG Cookstoves Project Pte Ltd,Energy demand,,VMR0006,Registered,Papua New Guinea,"299,206",Oceania,2024-06-14,2024-01-01,2033-12-31
4413,Household Biogas Program for Smallholder Farmers in India by SPEF and NDDB,EKI Energy Services Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AMS-I.E.; AMS-III.R.,Registered,India,"12,319",Asia,2024-05-10,2021-08-13,2028-08-12
4412,Xiding AWMS GHG Mitigation Project,"Xiding Technology Group Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"82,738",Asia,2024-03-14,2021-08-19,2031-08-18
4383,Lankao Geothermal Based Space Heating System,"Lankao Green Energy Clean Energy Co., Ltd",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,"75,508",Asia,2024-04-19,2021-11-15,2031-11-14
4376,Haishang Biogas Recovery and Utilization Project,"Shaoyang County Haishang Ecological Agriculture Technology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"58,300",Asia,2023-11-19,2022-01-01,2031-12-31
4374,Sequoia cookstoves in Benin,Sequoia Plantation Benin SAU,Energy demand,,VMR0006,Registered,Benin,"951,875",Africa,2024-08-23,2023-03-20,2030-03-19
4368,"Waste to Energy Project in Chennai, Tamil Nadu",Srinivas Waste Management Services Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,India,"28,918",Asia,2024-06-12,2021-11-15,2028-11-14
4350,Puyang Swine Farm AWMS Project in Henan,"Muyuan Foods Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"106,854",Asia,2024-06-13,2021-09-17,2031-09-16
4352,Henan Xinyang Grouped AWMS Biogas Recovery Project,"Muyuan Foods Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"44,299",Asia,2024-06-24,2021-10-10,2031-10-09
4347,Hunan Anfu PP Recycling Project,"Hunan Anfu Environmental Protection Technology Co.,Ltd",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"41,565",Asia,2024-08-06,2021-11-10,2028-11-09
4349,Yueyang LFG Power Generation Project,"Yueyang Weiteng New Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,"28,517",Asia,2024-02-16,2021-11-26,2031-11-25
4338,Bishuiyuan Wastewater Treatment Plant Project,"Xinjiang BishuiYuan Environmental Resources Co., Ltd",Waste handling and disposal,,AM0080,Registered,China,"135,475",Asia,2024-08-26,2021-12-05,2031-12-04
4339,Gansu Baiyin AWMS Biogas Recovery and Utilization Project,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"55,588",Asia,2024-06-21,2021-09-30,2031-09-29
4340,Gansu Wuwei Liangzhou Grouped AWMS GHG Mitigation Project,"Muyuan Foods Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"64,625",Asia,2024-06-27,2021-09-24,2031-09-23
4334,"Biogas Project in Cuddalore, India",Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Registered,India,"28,669",Asia,2024-10-04,2021-07-28,2028-07-27
4335,Grouped Commercial Electric Vehicles Project of Intelligent Link,"Zhejiang Green Intelligent Link Co., Ltd.",Transport,,AMS-III.C.,Registered,China,"88,354",Asia,2024-02-29,2021-10-08,2031-10-07
4308,Installation of high efficiency wood burning cookstoves in Angola – Project 3,C-Quest Capital SG Angola Stoves Private Limited,Energy demand,,VMR0006,Registered,Angola,"1,390,319",Africa,2024-04-08,2023-08-01,2033-07-31
4312,Installation of high efficiency wood burning cookstoves in Bangladesh,C-Quest Capital BD Stoves 1 Pte. Ltd.,Energy demand,,VMR0006,Registered,Bangladesh,"10,882,863",Asia,2024-02-15,2024-07-01,2034-06-30
4313,Installation of high efficiency wood burning cookstoves in Cambodia,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand,,VMR0006,Registered,Cambodia,"2,050,546",Asia,2024-04-04,2024-04-17,2034-04-16
4314,Installation of high efficiency wood burning cookstoves in Laos – Project 2,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand,,VMR0006,Registered,Lao,"1,223,363",Asia,2024-04-12,2024-02-17,2034-02-16
4315,Installation of high efficiency wood burning cookstoves in Thailand – Project 2,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand,,VMR0006,Registered,Thailand,"1,806,700",Asia,2024-04-04,2024-07-01,2034-06-30
4316,Installation of high efficiency wood burning cookstoves in Vietnam – Project 2,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand,,VMR0006,Registered,Viet Nam,"1,550,030",Asia,2024-04-04,2024-07-01,2034-06-30
4256,Linzhang Biogas Recovery and Utilization Project,"Zhonghuan Xinwei Green Technology (Lin Zhang) Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Transport",,AM0073; AMS-III.AQ,Registered,China,"151,849",Asia,2024-09-10,2022-02-01,2029-01-31
4248,Haishang Shaoyang Composting Project,"Shaoyang County Haishang Ecological Agriculture Technology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"58,858",Asia,2023-10-11,2021-08-01,2031-07-31
4250,CLEAN COOKSTOVE FOR GARO COMMUNITIES,GHE Impact Ventures Private Limited,Energy demand,,VMR0006,Registered,India,"94,759",Asia,2024-05-08,2022-10-19,2029-10-18
4245,Biogas to electricity generation group project in India,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Registered,India,"20,862",Asia,2024-07-03,2021-06-22,2028-06-21
4238,HEFEI BIOGAS RECOVERY AND UTILIZATION PROJECT,"Hefei Modern Energy Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"82,118",Asia,2024-06-20,2022-04-01,2032-03-31
4239,WUHE BIOGAS RECOVERY AND UTILIZATION PROJECT,"Modern Energy Wuhe Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,ACM0010,Registered,China,"173,943",Asia,2024-09-10,2022-04-01,2032-03-31
4231,Shanxi Changzhi Sanyuan CMM Power Generation Project,"Changzhi Suburb Baoneng New Energy Development Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,"244,963",Asia,2024-01-15,2021-06-25,2031-06-24
4229,RENEW SAKHI - IMPROVED COOKSTOVES - 01,ReNew Power Synergy Private Limited,Energy demand,,VMR0006,Registered,India,"2,648,515",Asia,2024-02-16,2023-02-06,2030-02-05
4223,D.Light's Improved Cooking Project In Kenya,"d.light design, Ltd",Energy demand,,VMR0006,Registered,Kenya,"38,422",Africa,2024-03-30,2022-09-08,2029-09-07
4225,D.Light's Improved Cooking Project In Nigeria,"d.light design, Ltd",Energy demand,,VMR0006,Registered,Nigeria,"397,068",Africa,2024-03-30,2023-06-01,2030-05-31
4226,D.Light's Improved Cooking Project In Uganda,"d.light design, Ltd",Energy demand,,VMR0006,Registered,Uganda,"621,725",Africa,2024-01-16,2023-04-19,2030-04-18
4219,IMPROVED COOKSTOVES IN LIBERIA,Carbonibus S.r.l.,Energy demand,,VMR0006,Registered,Liberia,"1,627,469",Africa,2023-08-21,2023-05-15,2030-05-14
4217,Distribution of Improved Cook Stoves in Sub-Saharan Africa–Zambia-CPA-005,C-Quest Capital Malaysia Global Stoves Limited,Energy demand,,VMR0006,Registered,Zambia,"298,110",Africa,2024-06-03,2019-08-06,2029-08-05
4216,"Wen County BCCY New Energy Co., Ltd Landfill Gas Direct Combustion Utilization Heating Project","Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.G.,Registered,China,"39,832",Asia,2024-04-05,2021-09-01,2031-08-31
4205,Yılmazlar Biogas Power Plant Project,Yılmazlar Madencilik Sanayi ve Ticaret Limited Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registered,Turkey,"35,855",Middle East,2024-03-13,2021-09-29,2028-09-28
4198,Yongtai Danyun Duck Farm Manure Composting Project,"Yongtai Golden Egg Development Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Registered,China,"35,490",Asia,2024-02-08,2021-06-07,2028-06-06
4195,Anlu Aonong Swine Farm Manure Management System GHG Mitigation Project,"Hubei Aonong Animal Husbandry Development Co., Ltd","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"140,424",Asia,2024-04-24,2021-09-10,2028-09-09
4196,MicroEnergy Credits - Microfinance for Efficient Lighting Product Lines - India,MicroEnergy Credits Corp,Energy demand,,AMS-II.C.,Registered,India,"43,079",Asia,2024-03-12,2021-07-15,2028-07-14
4187,Floating Solar project of Greenam Energy,Greenam Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"36,376",Asia,2024-09-19,2022-01-12,2029-01-11
4188,Grouped Captive Solar Power Project in Bangladesh,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,Bangladesh,"6,398",Asia,2024-07-02,2022-03-10,2029-03-09
4182,Guantao Qingfeng Biological Manure Management Greenhouse Gas Emission Reduction Project,"Guantao County Qingfeng Biotechnology Co.,Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Registered,China,"35,654",Asia,2024-10-15,2022-03-22,2029-03-21
4184,Talihya Nord I Hydro power rural electrification,Energie du Nord-Kivu SARL,Energy industries (renewable/non-renewable sources),,AMS-I.L.,Registered,"Congo, The Democratic Republic of The","41,750",Africa,2024-09-04,2023-07-25,2030-07-24
4166,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-004,C-Quest Capital Malaysia Global Stoves Limited,Energy demand,,VMR0006,Registered,Malawi,"98,828",Africa,2024-06-26,2019-01-06,2029-01-05
4167,Huangping Aonong Swine Farm Composting Project,"Guizhou Aonong Qihuan Animal Husbandry Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"51,020",Asia,2023-12-27,2021-09-01,2031-08-31
4168,BAITANG AONONG SWINE FARM COMPOSTING PROJECT,"Guizhou Aonong Qihuan Animal Husbandry Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Registered,China,"59,776",Asia,2024-02-05,2021-08-01,2031-07-31
4169,Wuwei Liangzhou Municipal Solid Waste Incineration Power Generation Project,"Wuwei everbright Environmental Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,China,"37,198",Asia,2024-01-19,2021-06-20,2031-06-19
4161,Installation of high efficiency wood burning cookstoves in Ghana,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Registered,Ghana,"1,126,602",Africa,2024-02-14,2023-09-27,2033-09-26
4157,Installation of high efficiency wood burning cookstoves in Tanzania - Project 3,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Registered,Tanzania,"285,339",Africa,2023-07-26,2021-08-05,2031-08-04
4150,DelAgua Clean Cooking Grouped Project in Rwanda,Multiple Proponents,Energy demand,,VMR0006,Registered,Rwanda,"2,243,669",Africa,2024-02-15,2021-10-11,2028-10-10
4151,BioLite Africa Improved Stove Program,BioLite,Energy demand,,VMR0006,Registered,Rwanda,"265,156",Africa,2024-06-12,2022-06-01,2029-05-31
4144,CHITETEZO MBAULA PROJECT – MALAWI,CO2Logic SA,Energy demand,,VMR0006,Registered,Malawi,"152,358",Africa,2024-10-23,2021-08-01,2028-07-31
4138,BRUSQUE LANDFILL GAS PROJECT,RECICLE CATARINENSE DE RESÍDUOS LTDA.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Brazil,"123,555",Latin America,2023-12-07,2022-07-11,2029-07-10
4139,Grouped Hydro Power Project by EKI Energy Services Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Nepal,"21,741",Asia,2024-09-26,2021-09-17,2028-09-16
4127,Household Appliance Distribution in Lao PDR-CPA-003,C-Quest Capital Stoves Asia Limited,Energy demand,,VMR0006,Registered,Lao,"201,394",Asia,2024-06-07,2018-10-23,2028-10-22
4126,Community Restoration of Native Ecosystems in Ghana,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Ghana,92,Africa,2024-06-25,2023-01-31,2063-01-30
4103,Water Purification System for Safe Drinking Water (SDW) in Indonesia,Synopex Inc.,Energy demand,,AMS-III.AV.,Registered,Indonesia,"12,329",Asia,2024-07-26,2021-07-21,2028-07-20
4102,Damao Banner Sustainable Grassland Management Project,"Damao Banner Eco-Construction Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Registered,China,"326,639",Asia,2024-09-11,2020-06-24,2060-06-23
4097,Zhejiang Shengtang Recycling Materials from E-waste Project,"Zhejiang Shengtang Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AMS-III.BA,Registered,China,"34,113",Asia,2024-03-21,2021-06-02,2028-06-01
4070,Guangdong Xinsheng E-waste recovery and recycling project,"Guangdong Xinsheng Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AMS-III.BA,Registered,China,"59,455",Asia,2024-01-02,2021-09-01,2028-08-31
4058,Improved Cookstove Distribution in Malawi by EKI Phase 01,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,Malawi,"94,197",Africa,2024-04-23,2023-01-12,2030-01-11
4059,Improved Cookstove Distribution in Kenya by EKI Phase 01,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,Kenya,"76,131",Africa,2024-04-23,2023-02-02,2030-02-01
4048,Smart Cookstove Program by Tata Communications,Tata Communications Limited,Energy demand,,VMR0006,Registered,India,"49,082",Asia,2024-10-21,2022-12-24,2029-12-23
4029,CSG EV Charger Premier Aggregation,CSG EV LLC,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Registered,United States,"3,491",North America,2024-05-30,2022-06-07,2032-06-06
4018,CO2 UTILIZATION IN CONCRETE - Removals & Reductions - CarbonCure - U.S & Canada. Project #1,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Registered,United States,"38,857",North America,2024-10-18,2019-01-02,2026-01-01
4014,Sinop Landfill Gas to Electricity Project,Biokütle Enerji Elektrik Üretim Anonim Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,Turkey,"37,688",Middle East,2024-06-25,2021-07-01,2028-06-30
4011,Qinghai Taiheyuan Swine Farm Manure Management System GHG Mitigation Project,"Qinghai Taiheyuan Agriculture Technology Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"37,258",Asia,2024-03-16,2021-10-08,2028-10-07
4003,Bundled Solar Power Project by AMP Energy - 01,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"13,207",Asia,2023-08-18,2021-03-05,2028-03-04
4000,DelAgua Clean Cooking Grouped Project in The Gambia,Multiple Proponents,Energy demand,,VMR0006,Registered,Gambia,"806,956",Africa,2024-10-21,2023-02-23,2030-02-22
3980,Xinjiang Muge Swine Farm Manure Management System GHG Mitigation Project,"Aksu Xingjiang Muge FOOD Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"165,560",Asia,2024-07-16,2021-08-01,2028-07-31
3981,Qinghai Muge Swine Farm Manure Management System GHG Mitigation Project,"Golmud Xingjiang MUGE FOOD Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"30,789",Asia,2024-08-01,2021-09-01,2028-08-31
3984,"Leyuan ANIMAL Husbandry Weixian Co., Ltd. NO. 4 Pasture Wastes Recycling Project","Hebei Zhonghai Huaneng Energy Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registered,China,"57,220",Asia,2023-12-22,2021-03-21,2028-03-20
3969,Hebei Handan Damingchang Biogas Recovery and Utilization Project,"Daming Jiujin Energy Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registered,China,"33,017",Asia,2024-07-04,2022-08-26,2029-08-25
3970,Carbon In Flavor and Arome Forests (C-BOSAR),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Colombia,"10,247",Latin America,2024-05-09,2022-09-02,2072-09-01
3963,SMG - Nepal Cookstove Program in Terai Region of Himalayas,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,Nepal,"116,913",Asia,2024-08-08,2022-12-01,2029-11-30
3959,Jiangsu Qidong Yongyin Recycled PET Project,"Jiangsu Yongyin Chemical Fibre Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"55,207",Asia,2023-07-03,2021-03-10,2028-03-09
3953,RUQI MOBILITY GUANGZHOU ELECTRIC VEHICLE IN PASSENGER TRANSPORTATION Phase 2 PROJECT,"Guangzhou Qichen Technology Co., Ltd.",Transport,,AMS-III.C.,Registered,China,"51,977",Asia,2023-09-28,2021-04-01,2031-03-31
3954,SUSTAINABLE CHARCOAL AND IMPROVED COOKSTOVE INITIATIVE USING MICRO-GASIFIER IN INDIA,"ECONEXUS Carbon Credit Co., Ltd.,",Chemical industry; Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006; AMS-III.BG,Registered,India,"3,206,158",Asia,2024-05-14,2022-09-10,2029-09-09
3950,Gansu Hui County Muge Swine Farm Manure Management System GHG Mitigation Project,"Hui County XINGJIANG Muge Breeding Co., LTD.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"42,656",Asia,2024-03-04,2021-06-01,2028-05-31
3951,Hunan Changde Muge Swine Farm Manure Management System GHG Mitigation Project,"Changde Dingcheng District Xingjiang Muge Breeding Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"51,445",Asia,2024-01-31,2022-06-07,2029-06-06
3944,Jinmu AWMS GHG Mitigation Project in Liaoning Province,"Henan Yangxiang Breeding Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"38,716",Asia,2023-12-15,2021-06-24,2031-06-23
3945,Yangxiang AWMS GHG Mitigation Project In Anhui Province,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Registered,China,"12,974",Asia,2024-04-05,2021-06-01,2031-05-31
3941,Installation of high efficiency wood burning cookstoves in South Africa,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Registered,South Africa,"1,004,676",Africa,2024-02-27,2024-02-01,2034-01-31
3940,Lianzhou Landfill Gas Power Generation Project,"Lianzhou Dongkang Renewable Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"82,464",Asia,2023-06-21,2021-06-01,2028-05-31
3935,Angovo Maharitra,CARBON CREDITS CONSULTING S.R.L.,Energy demand,,AMS-II.G.,Registered,Madagascar,"25,948",Africa,2024-08-09,2022-10-07,2029-10-06
3936,Mila Rano - Safe water access for Madagascar,CARBON CREDITS CONSULTING S.R.L.,Energy demand,,AMS-III.AV.,Registered,Madagascar,"9,279",Africa,2024-09-30,2023-05-31,2030-05-30
3922,Isorka: Electric Vehicle Charging in Iceland,Ísorka ehf,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Registered,Iceland,"37,545",Europe,2024-03-26,2021-01-01,2030-12-31
